InitParticles100, 100, 4.3646, 0
InitParticles1000, 1000, 34.5741, 0
InitParticles2000, 2000, 65.8975, 0
InitParticles3000, 3000, 124.548, 0
InitParticles4000, 4000, 143.225, 0
InitParticles5000, 5000, 176.942, 0
InitParticles6000, 6000, 243.687, 0
InitParticles7000, 7000, 317.31, 0
InitParticles8000, 8000, 380.705, 0
InitParticles9000, 9000, 492.793, 0
updateWithBvh1000, 1000, 13.675, 76008
updateWithBvh2000, 2000, 26.3115, 152008
updateWithBvh3000, 3000, 34.5539, 228008
updateWithBvh4000, 4000, 36.1474, 304008
updateWithBvh5000, 5000, 42.9664, 380008
updateWithBvh6000, 6000, 55.0074, 456008
updateWithBvh7000, 7000, 66.5629, 532008
updateWithBvh8000, 8000, 75.8855, 608008
updateWithBvh9000, 9000, 90.7205, 684008
updateWithGrid1000, 1000, 61.5757, 9016
updateWithGrid2000, 2000, 126.021, 18016
updateWithGrid3000, 3000, 245.613, 27016
updateWithGrid4000, 4000, 182.947, 36016
updateWithGrid5000, 5000, 266.283, 45016
updateWithGrid6000, 6000, 386.737, 54016
updateWithGrid7000, 7000, 467.687, 63016
updateWithGrid8000, 8000, 568.353, 72016
updateWithGrid9000, 9000, 717.423, 81016
updateWithQuadTree1000, 1000, 36.2416, 86248
updateWithQuadTree2000, 2000, 52.5168, 125072
updateWithQuadTree3000, 3000, 125.687, 150072
updateWithQuadTree4000, 4000, 149.422, 172576
updateWithQuadTree5000, 5000, 201.024, 192488
updateWithQuadTree6000, 6000, 282.575, 203760
updateWithQuadTree7000, 7000, 384.954, 224344
updateWithQuadTree8000, 8000, 493.017, 235520
updateWithQuadTree9000, 9000, 606.727, 250824
