Function Name, Number of Items, Execution time (miliseconds), Memory space (kilobytes)
InitParticles10, 10, 3.7395, 0
InitParticles100, 100, 3.4143, 0
InitParticles1000, 1000, 23.7657, 0
InitParticles10000, 10000, 506.78, 0
InitParticles3, 3, 5.7876, 0
InitParticles40, 40, 5.4706, 0
updateWithBvh10, 10, 0.042, 0.768
updateWithBvh100, 100, 0.7865, 7.608
updateWithBvh1000, 1000, 8.3979, 76.008
updateWithBvh10000, 10000, 96.3745, 760.008
updateWithBvh3, 3, 0.0326, 0.236
updateWithBvh40, 40, 0.2785, 3.048
updateWithGrid100, 100, 1.8372, 0.916
updateWithQuadTree100, 100, 1.3805, 18.532
