Function Name, Number of Items, Execution time (miliseconds), Memory space (kilobytes)
InitParticles100, 100, 4.3692, 0
InitParticles1000, 1000, 22.9653, 0
InitParticles10000, 10000, 558.252, 0
InitParticles11000, 11000, 659.596, 0
InitParticles12000, 12000, 800.091, 0
InitParticles13000, 13000, 946.54, 0
InitParticles14000, 14000, 1166, 0
InitParticles15000, 15000, 1331.44, 0
InitParticles16000, 16000, 1524.94, 0
InitParticles17000, 17000, 1771.67, 0
InitParticles18000, 18000, 2035.33, 0
InitParticles19000, 19000, 2282.15, 0
InitParticles2000, 2000, 49.9399, 0
InitParticles20000, 20000, 2522.21, 0
InitParticles21000, 21000, 2796.36, 0
InitParticles22000, 22000, 3134.2, 0
InitParticles23000, 23000, 3471.21, 0
InitParticles24000, 24000, 3856.98, 0
InitParticles25000, 25000, 4189.51, 0
InitParticles26000, 26000, 4870.3, 0
InitParticles27000, 27000, 5018.44, 0
InitParticles28000, 28000, 5465.01, 0
InitParticles29000, 29000, 5862.62, 0
InitParticles3000, 3000, 78.4088, 0
InitParticles4000, 4000, 118.235, 0
InitParticles5000, 5000, 156.285, 0
InitParticles6000, 6000, 218.379, 0
InitParticles7000, 7000, 291.6, 0
InitParticles8000, 8000, 347.196, 0
InitParticles9000, 9000, 448.393, 0
updateWithBvh1000, 1000, 9.1054, 76.008
updateWithBvh10000, 10000, 157.053, 760.008
updateWithBvh11000, 11000, 174.673, 836.008
updateWithBvh12000, 12000, 213.805, 912.008
updateWithBvh13000, 13000, 238.114, 988.008
updateWithBvh14000, 14000, 264.063, 1064.01
updateWithBvh15000, 15000, 291.929, 1140.01
updateWithBvh16000, 16000, 327.967, 1216.01
updateWithBvh17000, 17000, 339.748, 1292.01
updateWithBvh18000, 18000, 384.738, 1368.01
updateWithBvh19000, 19000, 438.272, 1444.01
updateWithBvh2000, 2000, 18.118, 152.008
updateWithBvh20000, 20000, 463.369, 1520.01
updateWithBvh21000, 21000, 495.187, 1596.01
updateWithBvh22000, 22000, 532.574, 1672.01
updateWithBvh23000, 23000, 578.965, 1748.01
updateWithBvh24000, 24000, 618.443, 1824.01
updateWithBvh25000, 25000, 664.941, 1900.01
updateWithBvh26000, 26000, 706.674, 1976.01
updateWithBvh27000, 27000, 762.008, 2052.01
updateWithBvh28000, 28000, 797.727, 2128.01
updateWithBvh29000, 29000, 850.783, 2204.01
updateWithBvh3000, 3000, 28.419, 228.008
updateWithBvh4000, 4000, 40.2107, 304.008
updateWithBvh5000, 5000, 61.1737, 380.008
updateWithBvh6000, 6000, 75.7822, 456.008
updateWithBvh7000, 7000, 92.5512, 532.008
updateWithBvh8000, 8000, 111.95, 608.008
updateWithBvh9000, 9000, 135.777, 684.008
updateWithGrid1000, 1000, 25.8392, 9.016
updateWithGrid10000, 10000, 835.076, 90.016
updateWithGrid11000, 11000, 970.347, 99.016
updateWithGrid12000, 12000, 1165.48, 108.016
updateWithGrid13000, 13000, 1329.16, 117.016
updateWithGrid14000, 14000, 1606.6, 126.016
updateWithGrid15000, 15000, 1759.44, 135.016
updateWithGrid16000, 16000, 1913.34, 144.016
updateWithGrid17000, 17000, 2225.47, 153.016
updateWithGrid18000, 18000, 2436.18, 162.016
updateWithGrid19000, 19000, 2721.68, 171.016
updateWithGrid2000, 2000, 64.9118, 18.016
updateWithGrid20000, 20000, 3034.91, 180.016
updateWithGrid21000, 21000, 3309.63, 189.016
updateWithGrid22000, 22000, 3586.15, 198.016
updateWithGrid23000, 23000, 3909.54, 207.016
updateWithGrid24000, 24000, 4236.91, 216.016
updateWithGrid25000, 25000, 4899.31, 225.016
updateWithGrid26000, 26000, 4998.78, 234.016
updateWithGrid27000, 27000, 5479.83, 243.016
updateWithGrid28000, 28000, 5840.42, 252.016
updateWithGrid29000, 29000, 6202.33, 261.016
updateWithGrid3000, 3000, 110.562, 27.016
updateWithGrid4000, 4000, 209.63, 36.016
updateWithGrid5000, 5000, 263.598, 45.016
updateWithGrid6000, 6000, 355.138, 54.016
updateWithGrid7000, 7000, 455.737, 63.016
updateWithGrid8000, 8000, 559.137, 72.016
updateWithGrid9000, 9000, 709.092, 81.016
updateWithQuadTree1000, 1000, 17.9353, 168.52
updateWithQuadTree10000, 10000, 516.419, 489.616
updateWithQuadTree11000, 11000, 627.279, 501.08
updateWithQuadTree12000, 12000, 769.927, 508.128
updateWithQuadTree13000, 13000, 938.499, 513.352
updateWithQuadTree14000, 14000, 1099.74, 519.92
updateWithQuadTree15000, 15000, 1240.9, 524.184
updateWithQuadTree16000, 16000, 1494.19, 527.008
updateWithQuadTree17000, 17000, 1723.79, 531.944
updateWithQuadTree18000, 18000, 1957.99, 534.768
updateWithQuadTree19000, 19000, 2224.67, 535.384
updateWithQuadTree2000, 2000, 37.2111, 257.456
updateWithQuadTree20000, 20000, 2473, 539.648
updateWithQuadTree21000, 21000, 2794.14, 540.744
updateWithQuadTree22000, 22000, 3142.93, 543.28
updateWithQuadTree23000, 23000, 3448.46, 544.76
updateWithQuadTree24000, 24000, 3817.93, 545.472
updateWithQuadTree25000, 25000, 4163.15, 547.816
updateWithQuadTree26000, 26000, 4589.9, 549.296
updateWithQuadTree27000, 27000, 4948.68, 550.104
updateWithQuadTree28000, 28000, 5450.05, 551.2
updateWithQuadTree29000, 29000, 5892.65, 552.68
updateWithQuadTree3000, 3000, 60.4099, 313.464
updateWithQuadTree4000, 4000, 93.6197, 358.528
updateWithQuadTree5000, 5000, 135.923, 397.736
updateWithQuadTree6000, 6000, 191.711, 421.776
updateWithQuadTree7000, 7000, 242.874, 441.688
updateWithQuadTree8000, 8000, 319.194, 461.6
updateWithQuadTree9000, 9000, 404.019, 473.928
