InitParticles100, 100, 5.0435, 0
InitParticles1000, 1000, 23.1604, 0
InitParticles10000, 10000, 580.527, 0
InitParticles11000, 11000, 669.565, 0
InitParticles12000, 12000, 835.247, 0
InitParticles13000, 13000, 998.814, 0
InitParticles14000, 14000, 1170.55, 0
InitParticles15000, 15000, 1354.44, 0
InitParticles16000, 16000, 1566.28, 0
InitParticles17000, 17000, 1778.23, 0
InitParticles18000, 18000, 2054.49, 0
InitParticles19000, 19000, 2289.67, 0
InitParticles2000, 2000, 47.4988, 0
InitParticles20000, 20000, 2573.37, 0
InitParticles21000, 21000, 2882.54, 0
InitParticles22000, 22000, 3147.36, 0
InitParticles23000, 23000, 3523.48, 0
InitParticles24000, 24000, 3853.41, 0
InitParticles25000, 25000, 4240.48, 0
InitParticles26000, 26000, 4573.28, 0
InitParticles27000, 27000, 5455.51, 0
InitParticles28000, 28000, 6342.59, 0
InitParticles29000, 29000, 5945.78, 0
InitParticles3000, 3000, 78.586, 0
InitParticles30000, 30000, 6396.83, 0
InitParticles31000, 31000, 7024.55, 0
InitParticles32000, 32000, 7381.25, 0
InitParticles33000, 33000, 8083.02, 0
InitParticles34000, 34000, 8450.69, 0
InitParticles35000, 35000, 8820.85, 0
InitParticles36000, 36000, 11318.8, 0
InitParticles37000, 37000, 10224.5, 0
InitParticles38000, 38000, 11569.3, 0
InitParticles39000, 39000, 10998.5, 0
InitParticles4000, 4000, 118.34, 0
InitParticles40000, 40000, 11720.7, 0
InitParticles41000, 41000, 12602.6, 0
InitParticles42000, 42000, 13083.1, 0
InitParticles43000, 43000, 13690.9, 0
InitParticles44000, 44000, 14797.8, 0
InitParticles45000, 45000, 15269.1, 0
InitParticles46000, 46000, 16146.5, 0
InitParticles47000, 47000, 16720.4, 0
InitParticles48000, 48000, 17602.3, 0
InitParticles49000, 49000, 18435.9, 0
InitParticles5000, 5000, 159.436, 0
InitParticles50000, 50000, 19301.7, 0
InitParticles51000, 51000, 20183.7, 0
InitParticles52000, 52000, 21551.1, 0
InitParticles53000, 53000, 22054.2, 0
InitParticles54000, 54000, 22726.2, 0
InitParticles55000, 55000, 23687.4, 0
InitParticles56000, 56000, 24578.4, 0
InitParticles57000, 57000, 26087.6, 0
InitParticles58000, 58000, 26757.2, 0
InitParticles59000, 59000, 27849.6, 0
InitParticles6000, 6000, 216.165, 0
InitParticles60000, 60000, 29065.8, 0
InitParticles61000, 61000, 30123.2, 0
InitParticles62000, 62000, 30977.9, 0
InitParticles63000, 63000, 32955.8, 0
InitParticles64000, 64000, 34095.8, 0
InitParticles65000, 65000, 34920.8, 0
InitParticles66000, 66000, 37682.1, 0
