Function Name, Number of Items, Execution time (miliseconds), Memory space (kilobytes)
InitParticles100, 100, 3.627, 0
InitParticles1000, 1000, 35.8848, 0
InitParticles2000, 2000, 66.7355, 0
InitParticles3000, 3000, 149.238, 0
InitParticles4000, 4000, 130.157, 0
InitParticles5000, 5000, 171.333, 0
InitParticles6000, 6000, 249.966, 0
InitParticles7000, 7000, 306.181, 0
InitParticles8000, 8000, 400.723, 0
InitParticles9000, 9000, 498.649, 0
updateWithBvh1000, 1000, 12.9671, 76.008
updateWithBvh2000, 2000, 20.4982, 152.008
updateWithBvh3000, 3000, 33.7864, 228.008
updateWithBvh4000, 4000, 37.567, 304.008
updateWithBvh5000, 5000, 42.8755, 380.008
updateWithBvh6000, 6000, 56.4531, 456.008
updateWithBvh7000, 7000, 68.2148, 532.008
updateWithBvh8000, 8000, 78.3813, 608.008
updateWithBvh9000, 9000, 85.797, 684.008
updateWithGrid1000, 1000, 60.4654, 9.016
updateWithGrid2000, 2000, 92.5979, 18.016
updateWithGrid3000, 3000, 132.603, 27.016
updateWithGrid4000, 4000, 197.29, 36.016
updateWithGrid5000, 5000, 267.534, 45.016
updateWithGrid6000, 6000, 382.388, 54.016
updateWithGrid7000, 7000, 478.266, 63.016
updateWithGrid8000, 8000, 579.437, 72.016
updateWithGrid9000, 9000, 743.523, 81.016
updateWithQuadTree1000, 1000, 33.1493, 82.216
updateWithQuadTree2000, 2000, 62.379, 126.416
updateWithQuadTree3000, 3000, 132.978, 148.152
updateWithQuadTree4000, 4000, 137.398, 171.808
updateWithQuadTree5000, 5000, 207.987, 191.432
updateWithQuadTree6000, 6000, 288.768, 204.336
updateWithQuadTree7000, 7000, 376.168, 221.56
updateWithQuadTree8000, 8000, 504.722, 234.656
updateWithQuadTree9000, 9000, 627.945, 247.656
